t,aerospike,bell
1.75,123.6509268,118.2126808
1.76,125.0729587,119.5721701
1.77,126.5031903,120.9394996
1.78,127.941623,122.3146705
1.79,129.3882579,123.6976839
1.8,130.8430963,125.0885412
1.81,132.3061395,126.4872435
1.82,133.7773887,127.8937921
1.83,135.2568451,129.3081882
1.84,136.74451,130.7304329
1.85,138.2403846,132.1605276
1.86,139.7444702,133.5984735
1.87,141.2567679,135.0442717
1.88,142.7772791,136.4979234
1.89,144.3060049,137.95943
1.9,145.8429466,139.4287926
1.91,147.3881054,140.9060124
1.92,148.9414825,142.3910907
1.93,150.5030792,143.8840286
1.94,152.0728967,145.3848273
1.95,153.6509362,146.8934881
1.96,155.237199,148.4100122
1.97,156.8316862,149.9344008
1.98,158.4343991,151.466655
1.99,160.0453389,153.0067761
2,161.6645068,154.5547654
2.01,163.2919041,156.1106239
2.02,164.9275319,157.6743529
2.03,166.5713914,159.2459536
2.04,168.2234839,160.8254271
2.05,169.8838106,162.4127748
2.06,171.5523727,164.0079978
2.07,173.2291714,165.6110972
2.08,174.9142079,167.2220743
2.09,176.6074833,168.8409302
2.1,178.308999,170.4676661
2.11,180.018756,172.1022833
2.12,181.7367557,173.7447829
2.13,183.4629991,175.3951661
2.14,185.1974874,177.0534341
2.15,186.940222,178.719588
2.16,188.6912039,180.3936291
2.17,190.4504343,182.0755584
2.18,192.2179144,183.7653773
2.19,193.9936455,185.4630869
2.2,195.7776287,187.1686882
2.21,197.5698651,188.8821826
2.22,199.3703559,190.6035712
2.23,201.1791024,192.3328551
2.24,202.9961057,194.0700355
2.25,204.8213669,195.8151136
2.26,206.6548873,197.5680905
2.27,208.4966679,199.3289674
2.28,210.34671,201.0977454
2.29,212.2050148,202.8744258
2.3,214.0715833,204.6590097
2.31,215.9464168,206.4514981
2.32,217.8295164,208.2518924
2.33,219.7208832,210.0601935
2.34,221.6205184,211.8764027
2.35,223.5284232,213.7005212
2.36,225.4445988,215.5325499
2.37,227.3690461,217.3724902
2.38,229.3017665,219.2203431
2.39,231.242761,221.0761098
2.4,233.1920307,222.9397914
