 Mach Number             Cd Rocket - (Unpowered) Cd - Rocket (Powered)   Body Skin Friction      Nose Pressure Drag      Base Drag               Body Pressure Drag      Fin Pressure Drag       Interference Drag       Fin Skin Friction      
 0.00000000000000E+0000  3.96040123638579E-0001  3.74133290551349E-0001  2.00454474069516E-0001  0.00000000000000E+0000  1.70770690309236E-0002  1.17579556993277E-0002  2.45123896851261E-0005  3.15715796659488E-0002  1.35154532783178E-0001 
 2.00000000000000E-0002  4.33831200757252E-0001  4.14238238058629E-0001  2.50596343395813E-0001  0.00000000000000E+0000  1.52733339041934E-0002  1.46991017174286E-0002  2.45320066283844E-0005  3.94689240848406E-0002  1.13768965648347E-0001 
 4.00000000000000E-0002  4.08657837080397E-0001  3.88788412930180E-0001  2.43671306308349E-0001  0.00000000000000E+0000  1.54888443467324E-0002  1.42929033540917E-0002  2.46693237920013E-0005  3.83782307435650E-0002  9.68018830038670E-0002 
 6.00000000000000E-0002  3.93098002147687E-0001  3.72974324094023E-0001  2.37552842519272E-0001  0.00000000000000E+0000  1.56870433033442E-0002  1.39340157487447E-0002  2.50420291122664E-0005  3.74145726967854E-0002  8.84844858504285E-0002 
 8.00000000000000E-0002  3.81916996064953E-0001  3.61579587153777E-0001  2.32586075763354E-0001  0.00000000000000E+0000  1.58536532644113E-0002  1.36426826480191E-0002  2.57677704395553E-0005  3.66323069327282E-0002  8.31765096860017E-0002 
 1.00000000000000E-0001  3.73219823750697E-0001  3.52699459668554E-0001  2.28457189031070E-0001  0.00000000000000E+0000  1.59962726047666E-0002  1.34004966478757E-0002  2.69641093062554E-0005  3.59820072723934E-0002  7.93568940852859E-0002 
 1.20000000000000E-0001  3.66112977055654E-0001  3.45432477281520E-0001  2.24932853618060E-0001  0.00000000000000E+0000  1.61211034397649E-0002  1.31937715056802E-0002  2.87484562549100E-0005  3.54269244448444E-0002  7.64095755910503E-0002 
 1.40000000000000E-0001  3.60105708500018E-0001  3.39282374948234E-0001  2.21857666716302E-0001  0.00000000000000E+0000  1.62324468854899E-0002  1.30133918382976E-0002  3.12379878051024E-0005  3.49425825078175E-0002  7.40283825643060E-0002 
 1.60000000000000E-0001  3.54900272102388E-0001  3.33947557542592E-0001  2.19126226276446E-0001  0.00000000000000E+0000  1.63333034719409E-0002  1.28531751315553E-0002  3.45495451863516E-0005  3.45123806385403E-0002  7.20406370387190E-0002 
 1.80000000000000E-0001  3.50302865011860E-0001  3.29231462057028E-0001  2.16664644227226E-0001  0.00000000000000E+0000  1.64258248285020E-0002  1.27087873705969E-0002  3.87995150249454E-0005  3.41246814657881E-0002  7.03401276047219E-0002 
 2.00000000000000E-0001  3.46180559380956E-0001  3.24999124096847E-0001  2.14419452292991E-0001  0.00000000000000E+0000  1.65115985081214E-0002  1.25770922940876E-0002  4.41036922449184E-0005  3.37710637361461E-0002  6.88572488573652E-0002 
 2.20000000000000E-0001  3.42438408890112E-0001  3.21154055734863E-0001  2.12350867832285E-0001  0.00000000000000E+0000  1.65918262426807E-0002  1.24557563919472E-0002  5.05771255269061E-0005  3.34452616835848E-0002  6.75441196140874E-0002 
 2.40000000000000E-0001  3.39006369349594E-0001  3.17625019651222E-0001  2.10428577551684E-0001  0.00000000000000E+0000  1.66674381148343E-0002  1.23430015928065E-0002  5.83339457628623E-0005  3.31425009643902E-0002  6.63665171801157E-0002 
 2.60000000000000E-0001  3.35975290457474E-0001  3.14501924325416E-0001  2.08629008647632E-0001  0.00000000000000E+0000  1.67391678342228E-0002  1.22374451987677E-0002  6.74871780489344E-0005  3.28590688620020E-0002  6.54431127368006E-0002 
 2.80000000000000E-0001  3.33297648015345E-0001  3.11736490749042E-0001  2.06933506986926E-0001  0.00000000000000E+0000  1.68076037991038E-0002  1.21379930238674E-0002  7.81485378723368E-0005  3.25920273504409E-0002  6.47483683171342E-0002 
 3.00000000000000E-0001  3.30795844455894E-0001  3.09150507345829E-0001  2.05327086411640E-0001  0.00000000000000E+0000  1.68732246488726E-0002  1.20437660326945E-0002  9.04282122698273E-0005  3.23390161098333E-0002  6.41223230405841E-0002 
 3.20000000000000E-0001  3.28444767989659E-0001  3.06718356608996E-0001  2.03797548554457E-0001  0.00000000000000E+0000  1.69364246061706E-0002  1.19540487118481E-0002  1.04434626864198E-0004  3.20981138973269E-0002  6.35541975929928E-0002 
 3.40000000000000E-0001  3.26224025844594E-0001  3.04419224676716E-0001  2.02334849616039E-0001  0.00000000000000E+0000  1.69975319237938E-0002  1.18682519273203E-0002  1.20274199819656E-0004  3.18677388145261E-0002  6.30353793630962E-0002 
 3.60000000000000E-0001  3.24116861594007E-0001  3.02236001109031E-0001  2.00930635810117E-0001  0.00000000000000E+0000  1.70568225662770E-0002  1.17858856753369E-0002  1.38051083895502E-0004  3.16465751400934E-0002  6.25588913182868E-0002 
 3.80000000000000E-0001  3.22109363954083E-0001  3.00154474448328E-0001  1.99577896547781E-0001  0.00000000000000E+0000  1.71145305285873E-0002  1.17065387393649E-0002  1.57866897918428E-0004  3.14335187062754E-0002  6.21190125341561E-0002 
 4.00000000000000E-0001  3.20189877914438E-0001  2.98162733215206E-0001  1.98270701439484E-0001  0.00000000000000E+0000  1.71708557364324E-0002  1.16298632635738E-0002  1.79820449134998E-0004  3.12276354767188E-0002  6.17110015490939E-0002 
 4.20000000000000E-0001  3.18348559281186E-0001  2.96250712586260E-0001  1.97003998031373E-0001  0.00000000000000E+0000  1.72259701774964E-0002  1.15555628887586E-0002  2.04007448045491E-0004  3.10281296899413E-0002  6.13308910455709E-0002 
