x,y,s,p,T,M,A,a,V,rho
1.267273255790078539e-04,3.204594468856311607e-02,2.936905737535375617e-04,1.909660190602584251e+01,2.533065863038286352e+03,1.006408259456945009e+00,5.309911998920553537e-04,3.445881761685878359e+02,3.467963866072716428e+02,2.096098666221053008e+00
1.287869462398599958e-04,3.204164084708277516e-02,2.984618512296975971e-04,1.909221843603350166e+01,2.532955480501339935e+03,1.006614977503943242e+00,5.309924736056449235e-04,3.445806680867753471e+02,3.468600614544631071e+02,2.095708847763975147e+00
1.308160258187895594e-04,3.203740100714221745e-02,3.031622136262769824e-04,1.908783526326689639e+01,2.532845084916700216e+03,1.006821695550941476e+00,5.309937875660533917e-04,3.445731589538486901e+02,3.469237321392579929e+02,2.095319038750994789e+00
1.328159621800740001e-04,3.203322224671833335e-02,3.077949001178720712e-04,1.908345238808432853e+01,2.532734676289036997e+03,1.007028413597939709e+00,5.309951417618425339e-04,3.445656487700566686e+02,3.469873986612550425e+02,2.094929239212795835e+00
1.347880508996359035e-04,3.202910185761709966e-02,3.123629128437068760e-04,1.907906981084394360e+01,2.532624254623020079e+03,1.007235131644937942e+00,5.309965361815867022e-04,3.445581375356483136e+02,3.470510610200533392e+02,2.094539449180050195e+00
1.367334954358403500e-04,3.202503732421207311e-02,3.168690404766112711e-04,1.907468753190371658e+01,2.532513819923318351e+03,1.007441849691936175e+00,5.309979708138771624e-04,3.445506252508725424e+02,3.471147192152521370e+02,2.094149668683419119e+00
1.386534160363558400e-04,3.202102630482508289e-02,3.213158788630488742e-04,1.907030555162145546e+01,2.532403372194602071e+03,1.007648567738934409e+00,5.309994456473160224e-04,3.445431119159783293e+02,3.471783732464509740e+02,2.093759897753556309e+00
1.405488575677328600e-04,3.201706661535860809e-02,3.257058491670236167e-04,1.906592387035470537e+01,2.532292911441539673e+03,1.007855285785932642e+00,5.310009606705238215e-04,3.445355975312145347e+02,3.472420231132492745e+02,2.093370136421095928e+00
1.424207964230168183e-04,3.201315621485587015e-02,3.300412138771414137e-04,1.906154248846095811e+01,2.532182437668800958e+03,1.008062003832930875e+00,5.310025158721334588e-04,3.445280820968301896e+02,3.473056688152471452e+02,2.092980384716671249e+00
1.442701466364952091e-04,3.200929319271817591e-02,3.343240909765231284e-04,1.905716140629740707e+01,2.532071950881054363e+03,1.008268721879929108e+00,5.310041112407922533e-04,3.445205656130741545e+02,3.473693103520445220e+02,2.092590642670896006e+00
1.460977653141063391e-04,3.200547575735286643e-02,3.385564665268575666e-04,1.905278062422115681e+01,2.531961451082969234e+03,1.008475439926927120e+00,5.310057467651630283e-04,3.445130480801954604e+02,3.474329477232417389e+02,2.092200910314378159e+00
1.479044574708640591e-04,3.200170222606097542e-02,3.427402058782238266e-04,1.904840014258907388e+01,2.531850938279214006e+03,1.008682157973925353e+00,5.310074224339224845e-04,3.445055294984430816e+02,3.474965809284393572e+02,2.091811187677711903e+00
1.496909803524477250e-04,3.199797101600305310e-02,3.468770636837040277e-04,1.904401996175788625e+01,2.531740412474457571e+03,1.008888876020923586e+00,5.310091382357610924e-04,3.444980098680659353e+02,3.475602099672381087e+02,2.091421474791482105e+00
1.514580473067333316e-04,3.199428063610592482e-02,3.509686928709663352e-04,1.903964008208410519e+01,2.531629873673368820e+03,1.009095594067921819e+00,5.310108941593858021e-04,3.444904891893129388e+02,3.476238348392387252e+02,2.091031771686260310e+00
1.532063312611963400e-04,3.199062967979335315e-02,3.550166527005273512e-04,1.903526050392408564e+01,2.531519321880615280e+03,1.009302312114920053e+00,5.310126901935144058e-04,3.444829674624331233e+02,3.476874555440425070e+02,2.090642078392609626e+00
1.549364678541079350e-04,3.198701681844035721e-02,3.590224160218062708e-04,1.903088122763401913e+01,2.531408757100866296e+03,1.009509030161918286e+00,5.310145263268829102e-04,3.444754446876755196e+02,3.477510720812508680e+02,2.090252394941081171e+00
1.566490582608271766e-04,3.198344079546507762e-02,3.629873758224743774e-04,1.902650225356987690e+01,2.531298179338789851e+03,1.009715748208916519e+00,5.310164025482396822e-04,3.444679208652889884e+02,3.478146844504651085e+02,2.089862721362214515e+00
1.583446717505735020e-04,3.197990042098389912e-02,3.669128511533852402e-04,1.902212358208748100e+01,2.531187588599053925e+03,1.009922466255914753e+00,5.310183188463482671e-04,3.444603959955226173e+02,3.478782926512872109e+02,2.089473057686537238e+00
1.600238480045181912e-04,3.197639456696556304e-02,3.708000925003683275e-04,1.901774521354246517e+01,2.531076984886326045e+03,1.010129184302912986e+00,5.310202752099844620e-04,3.444528700786253239e+02,3.479418966833190439e+02,2.089083403944567596e+00
1.616870992218592297e-04,3.197292216282852234e-02,3.746502866646831201e-04,1.901336714829026775e+01,2.530966368205274648e+03,1.010335902349911219e+00,5.310222716279424954e-04,3.444453431148461391e+02,3.480054965461628740e+02,2.088693760166811408e+00
1.633349120371157571e-04,3.196948219143300185e-02,3.784645612059455528e-04,1.900898938668619920e+01,2.530855738560567715e+03,1.010542620396909452e+00,5.310243080890267873e-04,3.444378151044340370e+02,3.480690922394209679e+02,2.088304126383766501e+00
1.649677492688529298e-04,3.196607368542530442e-02,3.822439884945511251e-04,1.900461192908531061e+01,2.530745095956871864e+03,1.010749338443907686e+00,5.310263845820587794e-04,3.444302860476380488e+02,3.481326837626960469e+02,2.087914502625912494e+00
1.665860515176376296e-04,3.196269572389729557e-02,3.859895894147146204e-04,1.900023477584254294e+01,2.530634440398855077e+03,1.010956056490905919e+00,5.310285010958731410e-04,3.444227559447070917e+02,3.481962711155908323e+02,2.087524888923725896e+00
1.681902386288817650e-04,3.195934742932853012e-02,3.897023367542337279e-04,1.899585792731264178e+01,2.530523771891185334e+03,1.011162774537904152e+00,5.310306576193178770e-04,3.444152247958903672e+02,3.482598542977084435e+02,2.087135285307669452e+00
1.697807110341465094e-04,3.195602796478226593e-02,3.933831583127738308e-04,1.899148138385013951e+01,2.530413090438528798e+03,1.011369492584902385e+00,5.310328541412576890e-04,3.444076926014366791e+02,3.483234333086520564e+02,2.086745691808191250e+00
1.713578509830960758e-04,3.195273653133010733e-02,3.970329397567183148e-04,1.898710514580942288e+01,2.530302396045553451e+03,1.011576210631900619e+00,5.310350906505698554e-04,3.444001593615951720e+02,3.483870081480251315e+02,2.086356108455732716e+00
1.729220236767890946e-04,3.194947236568286553e-02,4.006525272454148474e-04,1.898272921354471521e+01,2.530191688716926819e+03,1.011782928678898852e+00,5.310373671361460742e-04,3.443926250766148769e+02,3.484505788154313564e+02,2.085966535280723733e+00
1.744735783118329595e-04,3.194623473800795033e-02,4.042427298506870176e-04,1.897835358740999112e+01,2.530080968457313702e+03,1.011989646725897085e+00,5.310396835868925721e-04,3.443850897467446543e+02,3.485141453104744755e+02,2.085576972313578636e+00
1.760128490437074325e-04,3.194302294991542557e-02,4.078043217893135121e-04,1.897397826775911156e+01,2.529970235271382990e+03,1.012196364772895318e+00,5.310420399917297786e-04,3.443775533722336490e+02,3.485777076327586315e+02,2.085187419584706436e+00
1.775401558769206488e-04,3.193983633259728921e-02,4.113380444857097913e-04,1.896960325494574207e+01,2.529859489163799935e+03,1.012403082819893552e+00,5.310444363395929769e-04,3.443700159533309488e+02,3.486412657818881939e+02,2.084797877124502374e+00
1.790558054885421982e-04,3.193667424510584357e-02,4.148446084803868324e-04,1.896522854932334923e+01,2.529748730139231611e+03,1.012609800866891785e+00,5.310468726194299185e-04,3.443624774902854710e+02,3.487048197574674759e+02,2.084408344963349258e+00
1.805600919912199454e-04,3.193353607275871420e-02,4.183246951980457520e-04,1.896085415124522200e+01,2.529637958202344180e+03,1.012816518913890018e+00,5.310493488202041841e-04,3.443549379833463036e+02,3.487683695591013020e+02,2.084018823131620124e+00
1.820532976409441721e-04,3.193042122565929036e-02,4.217789585877075153e-04,1.895648006106453920e+01,2.529527173357805168e+03,1.013023236960888251e+00,5.310518649308920399e-04,3.443473974327625911e+02,3.488319151863946104e+02,2.083629311659681349e+00
1.835356934943820073e-04,3.192732913732253958e-02,4.252080266460230604e-04,1.895210627913418122e+01,2.529416375610278919e+03,1.013229955007886485e+00,5.310544209404860147e-04,3.443398558387831940e+02,3.488954566389523961e+02,2.083239810577877993e+00
1.850075400201501782e-04,3.192425926339720332e-02,4.286125028337611016e-04,1.894773280580691832e+01,2.529305564964432051e+03,1.013436673054884718e+00,5.310570168379912144e-04,3.443323132016572572e+02,3.489589939163801091e+02,2.082850319916552007e+00
1.864690876678988529e-04,3.192121108047622086e-02,4.319929673944995969e-04,1.894335964143535733e+01,2.529194741424930726e+03,1.013643391101882951e+00,5.310596526124273815e-04,3.443247695216339253e+02,3.490225270182832560e+02,2.082460839706032907e+00
1.879205773986222447e-04,3.191818408498801884e-02,4.353499785836365639e-04,1.893898678637189903e+01,2.529083904996440651e+03,1.013850109148881184e+00,5.310623282528278109e-04,3.443172247989621155e+02,3.490860559442676276e+02,2.082071369976638664e+00
1.893622411795448622e-04,3.191517779216214434e-02,4.386840738150492368e-04,1.893461424096873458e+01,2.528973055683627081e+03,1.014056827195879418e+00,5.310650437482411935e-04,3.443096790338909159e+02,3.491495806939390150e+02,2.081681910758673038e+00
1.907943024462076080e-04,3.191219173506307238e-02,4.419957707320985169e-04,1.893024200557793080e+01,2.528862193491156177e+03,1.014263545242877429e+00,5.310677990877287966e-04,3.443021322266694710e+02,3.492131012669037204e+02,2.081292462082432682e+00
1.922169765346429075e-04,3.190922546368699791e-02,4.452855682089082727e-04,1.892587008055136977e+01,2.528751318423693192e+03,1.014470263289875662e+00,5.310705942603667412e-04,3.442945843775468120e+02,3.492766176627682171e+02,2.080903023978203592e+00
1.936304710856836739e-04,3.190627854411646341e-02,4.485539472874457232e-04,1.892149846624068843e+01,2.528640430485902471e+03,1.014676981336873896e+00,5.310734292552457851e-04,3.442870354867719129e+02,3.493401298811389211e+02,2.080513596476254889e+00
1.950349864238130372e-04,3.190335055772849926e-02,4.518013720553416606e-04,1.891712716299743491e+01,2.528529529682450175e+03,1.014883699383872129e+00,5.310763040614694796e-04,3.442794855545940322e+02,3.494036379216227601e+02,2.080124179606851254e+00
1.964307159123468080e-04,3.190044110045212045e-02,4.550282904689735347e-04,1.891275617117289443e+01,2.528418616018000648e+03,1.015090417430870362e+00,5.310792186681572054e-04,3.442719345812620304e+02,3.494671417838265484e+02,2.079734773400241377e+00
