Converging x,Converging y
-1.327640891862503884e-02,2.259373201704863859e-02
-1.327507326380425109e-02,2.259506767186942461e-02
-1.327373760898346335e-02,2.259640332669021062e-02
-1.327240195416267733e-02,2.259773898151099664e-02
-1.327106629934188958e-02,2.259907463633178612e-02
-1.326973064452110183e-02,2.260041029115257560e-02
-1.326839498970031582e-02,2.260174594597336162e-02
-1.326705933487952807e-02,2.260308160079414763e-02
-1.326572368005874032e-02,2.260441725561493365e-02
-1.326438802523795257e-02,2.260575291043572313e-02
-1.326305237041716656e-02,2.260708856525650914e-02
-1.326171671559637881e-02,2.260842422007729863e-02
-1.326038106077559106e-02,2.260975987489808464e-02
-1.325904540595480505e-02,2.261109552971887066e-02
-1.325770975113401730e-02,2.261243118453965667e-02
-1.325637409631322955e-02,2.261376683936044615e-02
-1.325503844149244354e-02,2.261510249418123217e-02
-1.325370278667165579e-02,2.261643814900202165e-02
-1.325236713185086804e-02,2.261777380382280767e-02
-1.325103147703008029e-02,2.261910945864359368e-02
-1.324969582220929427e-02,2.262044511346437969e-02
-1.324836016738850653e-02,2.262178076828516918e-02
-1.324702451256771878e-02,2.262311642310595866e-02
-1.324568885774693276e-02,2.262445207792674468e-02
-1.324435320292614501e-02,2.262578773274753069e-02
-1.324301754810535726e-02,2.262712338756831670e-02
-1.324168189328457125e-02,2.262845904238910272e-02
-1.324034623846378350e-02,2.262979469720989220e-02
-1.323901058364299575e-02,2.263113035203068168e-02
-1.323767492882220800e-02,2.263246600685146770e-02
-1.323633927400142199e-02,2.263380166167225371e-02
-1.323500361918063424e-02,2.263513731649303973e-02
-1.323366796435984649e-02,2.263647297131382921e-02
-1.323233230953906048e-02,2.263780862613461523e-02
-1.323099665471827273e-02,2.263914428095540471e-02
-1.322966099989748498e-02,2.264047993577619072e-02
-1.322832534507669897e-02,2.264181559059697674e-02
-1.322698969025591122e-02,2.264315124541776275e-02
-1.322565403543512347e-02,2.264448690023855223e-02
-1.322431838061433572e-02,2.264582255505934172e-02
-1.322298272579354970e-02,2.264715820988012773e-02
-1.322164707097276196e-02,2.264849386470091375e-02
-1.322031141615197421e-02,2.264982951952169976e-02
-1.321897576133118819e-02,2.265116517434248578e-02
-1.321764010651040044e-02,2.265250082916327526e-02
-1.321630445168961270e-02,2.265383648398406474e-02
-1.321496879686882668e-02,2.265517213880485076e-02
-1.321363314204803893e-02,2.265650779362563677e-02
-1.321229748722725118e-02,2.265784344844642278e-02
-1.321096183240646343e-02,2.265917910326721227e-02
-1.320962617758567742e-02,2.266051475808799828e-02
-1.320829052276488967e-02,2.266185041290878777e-02
-1.320695486794410192e-02,2.266318606772957378e-02
-1.320561921312331591e-02,2.266452172255035979e-02
-1.320428355830252816e-02,2.266585737737114581e-02
-1.320294790348174041e-02,2.266719303219193529e-02
-1.320161224866095440e-02,2.266852868701272131e-02
-1.320027659384016665e-02,2.266986434183351079e-02
-1.319894093901937890e-02,2.267119999665429680e-02
-1.319760528419859288e-02,2.267253565147508282e-02
-1.319626962937780514e-02,2.267387130629586883e-02
-1.319493397455701739e-02,2.267520696111665832e-02
-1.319359831973622964e-02,2.267654261593744780e-02
-1.319226266491544362e-02,2.267787827075823381e-02
-1.319092701009465587e-02,2.267921392557901983e-02
-1.318959135527386813e-02,2.268054958039980584e-02
-1.318825570045308211e-02,2.268188523522059186e-02
-1.318692004563229436e-02,2.268322089004138134e-02
-1.318558439081150661e-02,2.268455654486217082e-02
-1.318424873599071886e-02,2.268589219968295684e-02
-1.318291308116993285e-02,2.268722785450374285e-02
-1.318157742634914510e-02,2.268856350932452887e-02
-1.318024177152835735e-02,2.268989916414531835e-02
-1.317890611670757134e-02,2.269123481896610436e-02
-1.317757046188678359e-02,2.269257047378689385e-02
-1.317623480706599584e-02,2.269390612860767986e-02
-1.317489915224520983e-02,2.269524178342846588e-02
-1.317356349742442208e-02,2.269657743824925189e-02
-1.317222784260363433e-02,2.269791309307004137e-02
-1.317089218778284831e-02,2.269924874789082739e-02
-1.316955653296206057e-02,2.270058440271161687e-02
-1.316822087814127282e-02,2.270192005753240289e-02
-1.316688522332048507e-02,2.270325571235318890e-02
-1.316554956849969905e-02,2.270459136717397491e-02
-1.316421391367891131e-02,2.270592702199476440e-02
-1.316287825885812356e-02,2.270726267681555388e-02
-1.316154260403733754e-02,2.270859833163633990e-02
-1.316020694921654979e-02,2.270993398645712591e-02
-1.315887129439576204e-02,2.271126964127791192e-02
-1.315753563957497603e-02,2.271260529609869794e-02
-1.315619998475418828e-02,2.271394095091948742e-02
-1.315486432993340053e-02,2.271527660574027691e-02
-1.315352867511261278e-02,2.271661226056106292e-02
-1.315219302029182677e-02,2.271794791538184893e-02
-1.315085736547103902e-02,2.271928357020263495e-02
-1.314952171065025127e-02,2.272061922502342443e-02
-1.314818605582946526e-02,2.272195487984421045e-02
-1.314685040100867751e-02,2.272329053466499993e-02
-1.314551474618788976e-02,2.272462618948578594e-02
-1.314417909136710375e-02,2.272596184430657196e-02
-1.314284343654631600e-02,2.272729749912735797e-02
-1.314150778172552825e-02,2.272863315394814746e-02
-1.314017212690474050e-02,2.272996880876893694e-02
-1.313883647208395448e-02,2.273130446358972295e-02
-1.313750081726316674e-02,2.273264011841050897e-02
-1.313616516244237899e-02,2.273397577323129498e-02
-1.313482950762159297e-02,2.273531142805208100e-02
-1.313349385280080522e-02,2.273664708287287048e-02
-1.313215819798001747e-02,2.273798273769365996e-02
-1.313082254315923146e-02,2.273931839251444598e-02
-1.312948688833844371e-02,2.274065404733523199e-02
-1.312815123351765596e-02,2.274198970215601801e-02
-1.312681557869686821e-02,2.274332535697680749e-02
-1.312547992387608220e-02,2.274466101179759350e-02
-1.312414426905529445e-02,2.274599666661838299e-02
-1.312280861423450670e-02,2.274733232143916900e-02
-1.312147295941372069e-02,2.274866797625995501e-02
-1.312013730459293294e-02,2.275000363108074103e-02
-1.311880164977214519e-02,2.275133928590153051e-02
-1.311746599495135918e-02,2.275267494072231653e-02
-1.311613034013057143e-02,2.275401059554310601e-02
-1.311479468530978368e-02,2.275534625036389202e-02
-1.311345903048899593e-02,2.275668190518467804e-02
-1.311212337566820992e-02,2.275801756000546405e-02
-1.311078772084742217e-02,2.275935321482625354e-02
-1.310945206602663442e-02,2.276068886964704302e-02
-1.310811641120584840e-02,2.276202452446782903e-02
-1.310678075638506065e-02,2.276336017928861505e-02
-1.310544510156427291e-02,2.276469583410940106e-02
-1.310410944674348689e-02,2.276603148893018708e-02
-1.310277379192269914e-02,2.276736714375097656e-02
-1.310143813710191139e-02,2.276870279857176604e-02
-1.310010248228112364e-02,2.277003845339255206e-02
-1.309876682746033763e-02,2.277137410821333807e-02
-1.309743117263954988e-02,2.277270976303412409e-02
-1.309609551781876213e-02,2.277404541785491357e-02
-1.309475986299797612e-02,2.277538107267569958e-02
-1.309342420817718837e-02,2.277671672749648907e-02
-1.309208855335640062e-02,2.277805238231727508e-02
-1.309075289853561461e-02,2.277938803713806110e-02
-1.308941724371482686e-02,2.278072369195884711e-02
-1.308808158889403911e-02,2.278205934677963659e-02
-1.308674593407325136e-02,2.278339500160042608e-02
-1.308541027925246535e-02,2.278473065642121209e-02
-1.308407462443167760e-02,2.278606631124199811e-02
-1.308273896961088985e-02,2.278740196606278412e-02
-1.308140331479010383e-02,2.278873762088357013e-02
-1.308006765996931609e-02,2.279007327570435962e-02
-1.307873200514852834e-02,2.279140893052514910e-02
-1.307739635032774232e-02,2.279274458534593512e-02
-1.307606069550695457e-02,2.279408024016672113e-02
-1.307472504068616682e-02,2.279541589498750714e-02
-1.307338938586537908e-02,2.279675154980829663e-02
-1.307205373104459306e-02,2.279808720462908264e-02
-1.307071807622380531e-02,2.279942285944987213e-02
-1.306938242140301756e-02,2.280075851427065814e-02
-1.306804676658223155e-02,2.280209416909144415e-02
-1.306671111176144380e-02,2.280342982391223017e-02
-1.306537545694065605e-02,2.280476547873301965e-02
-1.306403980211987004e-02,2.280610113355380567e-02
-1.306270414729908229e-02,2.280743678837459515e-02
-1.306136849247829454e-02,2.280877244319538116e-02
-1.306003283765750679e-02,2.281010809801616718e-02
-1.305869718283672078e-02,2.281144375283695319e-02
-1.305736152801593303e-02,2.281277940765774268e-02
-1.305602587319514528e-02,2.281411506247853216e-02
-1.305469021837435926e-02,2.281545071729931817e-02
-1.305335456355357152e-02,2.281678637212010419e-02
-1.305201890873278377e-02,2.281812202694089020e-02
-1.305068325391199775e-02,2.281945768176167622e-02
-1.304934759909121000e-02,2.282079333658246570e-02
-1.304801194427042225e-02,2.282212899140325518e-02
-1.304667628944963451e-02,2.282346464622404120e-02
-1.304534063462884849e-02,2.282480030104482721e-02
-1.304400497980806074e-02,2.282613595586561323e-02
-1.304266932498727299e-02,2.282747161068640271e-02
-1.304133367016648698e-02,2.282880726550718872e-02
-1.303999801534569923e-02,2.283014292032797821e-02
-1.303866236052491148e-02,2.283147857514876422e-02
-1.303732670570412547e-02,2.283281422996955023e-02
-1.303599105088333772e-02,2.283414988479033625e-02
-1.303465539606254997e-02,2.283548553961112573e-02
-1.303331974124176396e-02,2.283682119443191175e-02
-1.303198408642097621e-02,2.283815684925270123e-02
-1.303064843160018846e-02,2.283949250407348724e-02
-1.302931277677940071e-02,2.284082815889427326e-02
-1.302797712195861470e-02,2.284216381371505927e-02
-1.302664146713782695e-02,2.284349946853584876e-02
-1.302530581231703920e-02,2.284483512335663824e-02
-1.302397015749625318e-02,2.284617077817742425e-02
-1.302263450267546543e-02,2.284750643299821027e-02
-1.302129884785467769e-02,2.284884208781899628e-02
-1.301996319303388994e-02,2.285017774263978577e-02
-1.301862753821310392e-02,2.285151339746057178e-02
-1.301729188339231617e-02,2.285284905228136126e-02
-1.301595622857152842e-02,2.285418470710214728e-02
-1.301462057375074241e-02,2.285552036192293329e-02
-1.301328491892995466e-02,2.285685601674371931e-02
-1.301194926410916691e-02,2.285819167156450879e-02
-1.301061360928838090e-02,2.285952732638529480e-02
-1.300927795446759315e-02,2.286086298120608429e-02
-1.300794229964680540e-02,2.286219863602687030e-02
-1.300660664482601939e-02,2.286353429084765632e-02
-1.300527099000523164e-02,2.286486994566844233e-02
-1.300393533518444389e-02,2.286620560048923181e-02
-1.300259968036365614e-02,2.286754125531002130e-02
-1.300126402554287013e-02,2.286887691013080731e-02
-1.299992837072208238e-02,2.287021256495159333e-02
-1.299859271590129463e-02,2.287154821977237934e-02
-1.299725706108050861e-02,2.287288387459316535e-02
-1.299592140625972086e-02,2.287421952941395484e-02
-1.299458575143893312e-02,2.287555518423474432e-02
-1.299325009661814537e-02,2.287689083905553034e-02
-1.299191444179735935e-02,2.287822649387631635e-02
-1.299057878697657160e-02,2.287956214869710236e-02
-1.298924313215578386e-02,2.288089780351789185e-02
-1.298790747733499784e-02,2.288223345833867786e-02
