        p           t         gam         rho          mw
   1.5195E+01  2.9407E+03  1.1950E+00  1.5659E+00  2.5198E+01
   2.7579E+01  3.1949E+03  1.1809E+00  2.5965E+00  2.5010E+01
   1.5583E+01  2.9417E+03  1.1954E+00  1.6055E+00  2.5200E+01
   2.1374E+01  3.2145E+03  1.1696E+00  2.0201E+00  2.5260E+01
   1.2140E+01  2.9823E+03  1.1806E+00  1.2480E+00  2.5489E+01
   2.2063E+01  3.2170E+03  1.1700E+00  2.0841E+00  2.5265E+01
   1.2530E+01  2.9838E+03  1.1810E+00  1.2875E+00  2.5493E+01
   2.2753E+01  3.2193E+03  1.1703E+00  2.1480E+00  2.5270E+01
   1.2919E+01  2.9853E+03  1.1815E+00  1.3271E+00  2.5496E+01
   2.3442E+01  3.2216E+03  1.1707E+00  2.2119E+00  2.5275E+01
   1.3309E+01  2.9867E+03  1.1819E+00  1.3666E+00  2.5500E+01
   2.4132E+01  3.2238E+03  1.1710E+00  2.2758E+00  2.5279E+01
   1.3698E+01  2.9881E+03  1.1823E+00  1.4061E+00  2.5503E+01
   2.4821E+01  3.2260E+03  1.1714E+00  2.3397E+00  2.5283E+01
   1.4088E+01  2.9894E+03  1.1827E+00  1.4456E+00  2.5506E+01
   2.5511E+01  3.2280E+03  1.1717E+00  2.4035E+00  2.5288E+01
   1.4477E+01  2.9907E+03  1.1831E+00  1.4851E+00  2.5509E+01
   2.6200E+01  3.2300E+03  1.1720E+00  2.4674E+00  2.5292E+01
   1.4866E+01  2.9919E+03  1.1835E+00  1.5246E+00  2.5512E+01
   2.6889E+01  3.2320E+03  1.1723E+00  2.5312E+00  2.5296E+01
   1.5255E+01  2.9931E+03  1.1839E+00  1.5641E+00  2.5515E+01
   2.7579E+01  3.2339E+03  1.1726E+00  2.5949E+00  2.5299E+01
   1.5644E+01  2.9943E+03  1.1843E+00  1.6035E+00  2.5518E+01
   2.1374E+01  3.2425E+03  1.1631E+00  2.0231E+00  2.5518E+01
   1.2183E+01  3.0225E+03  1.1708E+00  1.2494E+00  2.5772E+01
   2.2063E+01  3.2452E+03  1.1634E+00  2.0871E+00  2.5524E+01
   1.2574E+01  3.0243E+03  1.1713E+00  1.2890E+00  2.5777E+01
   2.2753E+01  3.2478E+03  1.1637E+00  2.1510E+00  2.5529E+01
   1.2965E+01  3.0260E+03  1.1717E+00  1.3285E+00  2.5781E+01
   2.3442E+01  3.2503E+03  1.1640E+00  2.2150E+00  2.5534E+01
   1.3356E+01  3.0277E+03  1.1721E+00  1.3680E+00  2.5785E+01
   2.4132E+01  3.2527E+03  1.1644E+00  2.2789E+00  2.5539E+01
   1.3747E+01  3.0294E+03  1.1725E+00  1.4075E+00  2.5789E+01
   2.4821E+01  3.2550E+03  1.1647E+00  2.3427E+00  2.5544E+01
   1.4138E+01  3.0309E+03  1.1728E+00  1.4470E+00  2.5792E+01
   2.5511E+01  3.2573E+03  1.1649E+00  2.4065E+00  2.5549E+01
   1.4529E+01  3.0325E+03  1.1732E+00  1.4864E+00  2.5796E+01
   2.6200E+01  3.2595E+03  1.1652E+00  2.4703E+00  2.5553E+01
   1.4919E+01  3.0339E+03  1.1736E+00  1.5259E+00  2.5799E+01
   2.6889E+01  3.2617E+03  1.1655E+00  2.5341E+00  2.5558E+01
   1.5310E+01  3.0354E+03  1.1739E+00  1.5653E+00  2.5803E+01
   2.7579E+01  3.2637E+03  1.1658E+00  2.5979E+00  2.5562E+01
   1.5701E+01  3.0367E+03  1.1743E+00  1.6047E+00  2.5806E+01
   2.1374E+01  3.2631E+03  1.1579E+00  2.0288E+00  2.5753E+01
   1.2219E+01  3.0534E+03  1.1627E+00  1.2527E+00  2.6028E+01
   2.2063E+01  3.2660E+03  1.1582E+00  2.0929E+00  2.5759E+01
   1.2612E+01  3.0555E+03  1.1631E+00  1.2923E+00  2.6033E+01
   2.2753E+01  3.2688E+03  1.1585E+00  2.1569E+00  2.5765E+01
   1.3004E+01  3.0575E+03  1.1635E+00  1.3319E+00  2.6038E+01
   2.3442E+01  3.2714E+03  1.1588E+00  2.2209E+00  2.5770E+01
   1.3396E+01  3.0594E+03  1.1638E+00  1.3715E+00  2.6042E+01
   2.4132E+01  3.2740E+03  1.1591E+00  2.2849E+00  2.5776E+01
   1.3789E+01  3.0613E+03  1.1642E+00  1.4110E+00  2.6047E+01
   2.4821E+01  3.2766E+03  1.1593E+00  2.3489E+00  2.5781E+01
   1.4181E+01  3.0631E+03  1.1645E+00  1.4505E+00  2.6051E+01
   2.5511E+01  3.2790E+03  1.1596E+00  2.4128E+00  2.5786E+01
   1.4573E+01  3.0648E+03  1.1649E+00  1.4900E+00  2.6055E+01
   2.6200E+01  3.2814E+03  1.1598E+00  2.4767E+00  2.5791E+01
   1.4965E+01  3.0665E+03  1.1652E+00  1.5295E+00  2.6059E+01
   2.6889E+01  3.2837E+03  1.1601E+00  2.5405E+00  2.5795E+01
   1.5357E+01  3.0682E+03  1.1655E+00  1.5690E+00  2.6063E+01
   2.7579E+01  3.2859E+03  1.1603E+00  2.6044E+00  2.5800E+01
   1.5749E+01  3.0698E+03  1.1658E+00  1.6084E+00  2.6067E+01
   2.1374E+01  3.2778E+03  1.1539E+00  2.0365E+00  2.5967E+01
   1.2248E+01  3.0764E+03  1.1563E+00  1.2574E+00  2.6259E+01
