x,y,M,mu,V,theta,T,p,a,rho
1.490146361059397359e-03,-5.395055862546011688e-02,1.268880805776695153e+00,9.077098304266454365e-01,4.260632025595774053e+02,1.125513319060622575e+00,2.377804151608627762e+03,1.247133613051882014e+06,3.357787434563483089e+02,1.619078901604620757e+00
1.547412772875823633e-03,-5.393788475529853743e-02,1.288496032899845156e+00,8.884553909500724211e-01,4.315737218748287773e+02,1.115058044458958397e+00,2.365993223339600718e+03,1.215137910621786490e+06,3.349437723168954335e+02,1.585415807161907775e+00
1.602751531938280882e-03,-5.392512570727514554e-02,1.308037395472684050e+00,8.702717444767605892e-01,4.370225064796690617e+02,1.104551023165235346e+00,2.354165378693026469e+03,1.183764687703212025e+06,3.341055141024792761e+02,1.552242327887107143e+00
1.656427700202921932e-03,-5.391231525637654731e-02,1.327509135255525718e+00,8.530509556516195913e-01,4.424110868542252319e+02,1.093989198243857208e+00,2.342322277274111912e+03,1.153010350962597877e+06,3.332640620729647480e+02,1.519559349825784667e+00
1.708664828116726380e-03,-5.389948000053928351e-02,1.346915480228285888e+00,8.367009565301630758e-01,4.477409686029937461e+02,1.083371691409536375e+00,2.330465414191165110e+03,1.122870563579556532e+06,3.324194986066290767e+02,1.487367010241349652e+00
1.759653305030497517e-03,-5.388664117400790432e-02,1.366260571937328638e+00,8.211425189698703386e-01,4.530136122338868176e+02,1.072699188471973430e+00,2.318596173666230243e+03,1.093340435531727504e+06,3.315718989032400827e+02,1.455664883431409651e+00
1.809556718525630412e-03,-5.387381595953737862e-02,1.385548410099781025e+00,8.063069361409253011e-01,4.582304185533192822e+02,1.061973485952406815e+00,2.306715872725670124e+03,1.064414670859000646e+06,3.307213340314248740e+02,1.424452125652295287e+00
1.858516765617442869e-03,-5.386101845252494469e-02,1.404782814580116890e+00,7.921342152049980490e-01,4.633927194472626070e+02,1.051197156247225095e+00,2.294825794380142725e+03,1.036087675047031953e+06,3.298678732667786448e+02,1.393727581112893965e+00
1.906657093514015728e-03,-5.384826037892370687e-02,1.423967402142813921e+00,7.785716475625794608e-01,4.685017730983156525e+02,1.040373300124753486e+00,2.282927211485315638e+03,1.008353629790601204e+06,3.290115857942429898e+02,1.363489855574515852e+00
1.954086337528947778e-03,-5.383555163616410288e-02,1.443105574764337540e+00,7.655726636436841481e-01,4.735587625701592174e+02,1.029505363725290001e+00,2.271021402991501418e+03,9.812065428391864989e+05,3.281525418869596251e+02,1.333737364845100526e+00
2.000900548899368133e-03,-5.382290070502207535e-02,1.462200516508834758e+00,7.530959057533307410e-01,4.785647968033608777e+02,1.018597003346451979e+00,2.259109664268900360e+03,9.546402796866950812e+05,3.272908136744386525e+02,1.304468364718968321e+00
2.047185153424260686e-03,-5.381031496618549070e-02,1.481255196471844116e+00,7.411044703968997505e-01,4.835209132469539099e+02,1.007651985739639766e+00,2.247193312972538479e+03,9.286485825535714393e+05,3.264264755989632931e+02,1.275680967728649362e+00
2.093016545338771163e-03,-5.379780094563518800e-02,1.500272375832340854e+00,7.295652839361872477e-01,4.884280815303571899e+02,9.966741148753605062e-01,2.235273691639362823e+03,9.032250808389385929e+05,3.255596046413776321e+02,1.247373150883509085e+00
2.138463394751906679e-03,-5.378536450630262006e-02,1.519254617531256235e+00,7.184485842484792384e-01,4.932872077352922133e+02,9.856671784906934075e-01,2.223352167953012668e+03,8.783632961390076671e+05,3.246902803803020561e+02,1.219542757533943034e+00
