x,y,s,p,T,M,A,a,V,rho
-3.809148675303704323e-02,2.536322270235036314e-02,1.141677347755307419e-03,2.882283067264034878e+06,2.791785103736052861e+03,3.463478186327165753e-01,1.389058259801963886e-03,3.638364050393527123e+02,1.260139452245493459e+02,3.187027086917391561e+00
-3.805226010055556135e-02,2.536375201602637450e-02,1.180907571280933287e-03,2.882242538620220497e+06,2.791777582511736455e+03,3.463811042054205092e-01,1.388942437338940884e-03,3.638359149412688112e+02,1.260258859669461486e+02,3.186990859107417862e+00
-3.801303344807407947e-02,2.536414854893512261e-02,1.220136227939690697e-03,2.882212168761039153e+06,2.791771946478230348e+03,3.464060447885263239e-01,1.388855668414618614e-03,3.638355476855721236e+02,1.260348330272262984e+02,3.186963711984384329e+00
-3.797380679559259758e-02,2.536441527321097594e-02,1.259363787215565626e-03,2.882191736887977924e+06,2.791768154707550821e+03,3.464228231835593252e-01,1.388797303572258035e-03,3.638353006056786398e+02,1.260408520096581668e+02,3.186945448234624667e+00
-3.793458014311111570e-02,2.536455516098829951e-02,1.298590689126029969e-03,2.882181019826098811e+06,2.791766165814100077e+03,3.464316236306162478e-01,1.388766693040930462e-03,3.638351710050571910e+02,1.260440090252048719e+02,3.186935868401274075e+00
-3.789535349062963382e-02,2.536457118440146180e-02,1.337817344880156160e-03,2.882179792188164312e+06,2.791765937986252993e+03,3.464326317088083917e-01,1.388763186757485451e-03,3.638351561592963890e+02,1.260443706564503117e+02,3.186934771032272184e+00
-3.785612683814815194e-02,2.536446631558483822e-02,1.377044137539914148e-03,2.882187826536141336e+06,2.791767429017448649e+03,3.464260342384055669e-01,1.388786134388033831e-03,3.638352533181391095e+02,1.260420039231286182e+02,3.186941952826005675e+00
-3.781690018566667005e-02,2.536424352667278337e-02,1.416271422684342368e-03,2.882204893539905548e+06,2.791770596336752988e+03,3.464120191847713803e-01,1.388834885348930485e-03,3.638354597074828121e+02,1.260369762482886529e+02,3.186957208774437333e+00
-3.777767353318518817e-02,2.536390578979968308e-02,1.455499529076295651e-03,2.882230762132965028e+06,2.791775397038853953e+03,3.463907755641860708e-01,1.388908788827209395e-03,3.638357725313421724e+02,1.260293554251263970e+02,3.186980332303558150e+00
-3.773844688070370629e-02,2.536345607709989541e-02,1.494728759331493155e-03,2.882265199665118009e+06,2.791781787913470907e+03,3.463624933516163407e-01,1.389007193800557462e-03,3.638361889737743127e+02,1.260192095845063278e+02,3.187011115411073625e+00
-3.769922022822222440e-02,2.536289736070778539e-02,1.533959390589602649e-03,2.882307972051770892e+06,2.791789725474129227e+03,3.463273633905276649e-01,1.389129449056730184e-03,3.638367062007616255e+02,1.260066071632038245e+02,3.187049348801097803e+00
-3.765999357574074252e-02,2.536223261275773189e-02,1.573191675187113076e-03,2.882358843919937033e+06,2.791799165986295975e+03,3.462855773047815444e-01,1.389274903212507411e-03,3.638373213620534443e+02,1.259916168728840091e+02,3.187094822015840379e+00
-3.762076692325926064e-02,2.536146480538409298e-02,1.612425841331762517e-03,2.882417578750665300e+06,2.791810065494833452e+03,3.462373274127051870e-01,1.389442904732097897e-03,3.638380315929626931e+02,1.259743076698467945e+02,3.187147323564090140e+00
-3.758154027077777876e-02,2.536059691072124408e-02,1.651662093778304271e-03,2.882483939017851371e+06,2.791822379850757443e+03,3.461828066433818019e-01,1.389632801945065929e-03,3.638388340161171755e+02,1.259547487255549783e+02,3.187206641046436584e+00
-3.754231361829629687e-02,2.535963190090354674e-02,1.690900614505406151e-03,2.882557686323302798e+06,2.791836064737272864e+03,3.461222084552140199e-01,1.389843943063720630e-03,3.638397257431639105e+02,1.259330093979632750e+02,3.187272561277104899e+00
-3.750308696581482193e-02,2.535857274806537637e-02,1.730141563393487389e-03,2.882638581527951173e+06,2.791851075695070449e+03,3.460557267568162287e-01,1.390075676200025175e-03,3.638407038764246977e+02,1.259091592036677127e+02,3.187344870402328390e+00
-3.746386031333334005e-02,2.535742242434110838e-02,1.769385078903359379e-03,2.882726384879151825e+06,2.791867368146866283e+03,3.459835558302773451e-01,1.390327349381962826e-03,3.638417655105018866e+02,1.258832677908894055e+02,3.187423354015182397e+00
-3.742463366085185816e-02,2.535618390186508697e-02,1.808631278755403089e-03,2.882820856133977883e+06,2.791884897421172354e+03,3.459058902568281635e-01,1.390598310569444128e-03,3.638429077338347497e+02,1.258554049133050938e+02,3.187507797266808662e+00
-3.738540700837037628e-02,2.535486015277170491e-02,1.847880260609270154e-03,2.882921754678396042e+06,2.791903618775267660e+03,3.458229248449758431e-01,1.390887907669629067e-03,3.638441276302026495e+02,1.258256404047453714e+02,3.187597984973921328e+00
-3.734618035588889440e-02,2.535345414919531332e-02,1.887132102743872787e-03,2.883028839642351028e+06,2.791923487417382603e+03,3.457348545610891000e-01,1.391195488551830953e-03,3.638454222801768196e+02,1.257940441547549852e+02,3.187693701722622119e+00
-3.730695370340741251e-02,2.535196886327029456e-02,1.926386864737572547e-03,2.883141870010612998e+06,2.791944458528061659e+03,3.456418744625198158e-01,1.391520401061832873e-03,3.638467887625189974e+02,1.257606860850455632e+02,3.187794731968389250e+00
-3.726772705092593063e-02,2.535040726713100670e-02,1.965644588148453015e-03,2.883260604729391634e+06,2.791966487280709771e+03,3.455441796332390791e-01,1.391861993035738154e-03,3.638482241555256564e+02,1.257256361268320006e+02,3.187900860132244496e+00
-3.722850039844444875e-02,2.534877233291181822e-02,2.004905297194572306e-03,2.883384802808676846e+06,2.791989528861311101e+03,3.454419651220321241e-01,1.392219612313299552e-03,3.638497255383189213e+02,1.256889641990689199e+02,3.188011870693065131e+00
-3.718927374596296687e-02,2.534706703274710801e-02,2.044168999434105207e-03,2.883514223420233466e+06,2.792013538487306505e+03,3.453354258832599943e-01,1.392592606750738633e-03,3.638512899920816039e+02,1.256507401875890366e+02,3.188127548275967449e+00
-3.715004709348148498e-02,2.534529433877124455e-02,2.083435686445298408e-03,2.883648625991292298e+06,2.792038471425637454e+03,3.452247567202058054e-01,1.392980324233056679e-03,3.638529146012385809e+02,1.256110339251504087e+02,3.188247677736806729e+00
-3.711082044100000310e-02,2.534345722311857549e-02,2.122705334506163992e-03,2.883787770293835551e+06,2.792064283009941391e+03,3.451101522310089931e-01,1.393382112685836657e-03,3.638545964545815536e+02,1.255699151723929816e+02,3.188372044242702152e+00
-3.707159378851852122e-02,2.534155865792348666e-02,2.161977905273850496e-03,2.883931416529557202e+06,2.792090928656902634e+03,3.449918067571964286e-01,1.393797320086542562e-03,3.638563326463394674e+02,1.255274535997081244e+02,3.188500433348647523e+00
-3.703236713603703933e-02,2.533960161532034308e-02,2.201253346463650975e-03,2.884079325410388876e+06,2.792118363881754249e+03,3.448699143348245566e-01,1.394225294475286625e-03,3.638581202771925973e+02,1.254837187700257033e+02,3.188632631070128287e+00
-3.699314048355555745e-02,2.533758906744351669e-02,2.240531592527591695e-03,2.884231258234700188e+06,2.792146544312931837e+03,3.447446686482066314e-01,1.394665383965122511e-03,3.638599564552317815e+02,1.254387801225097689e+02,3.188768423951825248e+00
-3.695391383107407557e-02,2.533552398642736209e-02,2.279812565332580213e-03,2.884386976959086023e+06,2.792175425705884209e+03,3.446162629862543625e-01,1.395116936751795555e-03,3.638618382968614924e+02,1.253927069571731749e+02,3.188907599132338344e+00
-3.691468717859259369e-02,2.533340934440626857e-02,2.319096174838076400e-03,2.884546244265796151e+06,2.792204963956031406e+03,3.444848902014046588e-01,1.395579301123003792e-03,3.638637629276484518e+02,1.253455684204009088e+02,3.189049944404968251e+00
-3.687546052611111180e-02,2.533124811351459421e-02,2.358382319773283387e-03,2.884708823625839781e+06,2.792235115110892821e+03,3.443507426711318042e-01,1.396051825467152898e-03,3.638657274831143127e+02,1.252974334913820655e+02,3.189195248274603323e+00
-3.683623387362962992e-02,2.532904326588670402e-02,2.397670888313828928e-03,2.884874479357711039e+06,2.792265835381362649e+03,3.442140122620479525e-01,1.396533858281575301e-03,3.638677291094740553e+02,1.252483709694520400e+02,3.189343300010644366e+00
-3.679700722114814804e-02,2.532679777365695953e-02,2.436961758757951076e-03,2.885042976681862492e+06,2.792297081152167721e+03,3.440748902965503619e-01,1.397024748180274644e-03,3.638697649643194723e+02,1.251984494623297905e+02,3.189493889696095597e+00
-3.675778056866667309e-02,2.532451460895975351e-02,2.476254800202168198e-03,2.885214081770857330e+06,2.792328808991486312e+03,3.439335675220362987e-01,1.397523843901140282e-03,3.638718322172488229e+02,1.251477373752582167e+02,3.189646808272752043e+00
-3.671855391618519121e-02,2.532219674392943362e-02,2.515549873216500580e-03,2.885387561795287300e+06,2.792360975659751148e+03,3.437902340826458625e-01,1.398030494312642877e-03,3.638739280504422595e+02,1.250963029010333827e+02,3.189801847582565131e+00
-3.667932726370370933e-02,2.531984715070037181e-02,2.554846830519134308e-03,2.885563184965490364e+06,2.792393538117637945e+03,3.436450794935167474e-01,1.398544048420059457e-03,3.638760496591846731e+02,1.250442140109173579e+02,3.189958800405218398e+00
-3.664010061122222744e-02,2.531746880140694003e-02,2.594145517650697872e-03,2.885740720569070429e+06,2.792426453533246786e+03,3.434982926175502160e-01,1.399063855371143359e-03,3.638781942523349926e+02,1.249915384464343475e+02,3.190117460491914692e+00
-3.660087395874074556e-02,2.531506466818350329e-02,2.633445773648069969e-03,2.885919939004285727e+06,2.792459679288481766e+03,3.433500616446460429e-01,1.399589264461318641e-03,3.638803590527434153e+02,1.249383437120353904e+02,3.190277622595432128e+00
-3.656164730625926368e-02,2.531263772316443700e-02,2.672747431717781372e-03,2.886100611809352878e+06,2.792493172984646662e+03,3.432005740733984345e-01,1.400119625138343017e-03,3.638825412976171947e+02,1.248846970686293361e+02,3.190439082496497214e+00
-3.652242065377778180e-02,2.531019093848409923e-02,2.712050319909043838e-03,2.886282511687688064e+06,2.792526892447252976e+03,3.430500166952271668e-01,1.400654287006477920e-03,3.638847382388350979e+02,1.248306655279707513e+02,3.190601637026493353e+00
-3.648319400129629991e-02,2.530772728627687235e-02,2.751354261786432068e-03,2.886465412529153284e+06,2.792560795730060363e+03,3.428985755809158542e-01,1.401192599830141175e-03,3.638869471432109890e+02,1.247763158478950629e+02,3.190765084086563785e+00
-3.644396734881481803e-02,2.530524973867711094e-02,2.790659077102268602e-03,2.886649089427331928e+06,2.792594841118351269e+03,3.427464360695418599e-01,1.401733913537048367e-03,3.638891652927083555e+02,1.247217145283962196e+02,3.190929222663129838e+00
-3.640474069633333615e-02,2.530276126781918697e-02,2.829964582468739824e-03,2.886833318692917936e+06,2.792628987131457507e+03,3.425937827597658747e-01,1.402277578220855261e-03,3.638913899846046434e+02,1.246669278085348935e+02,3.191093852839911982e+00
-3.636551404385185426e-02,2.530026484583747237e-02,2.869270592029794700e-03,2.887017877863225061e+06,2.792663192524536498e+03,3.424407995034587926e-01,1.402822944143274596e-03,3.638936185316074443e+02,1.246120216641702996e+02,3.191258775806445680e+00
-3.632628739137037238e-02,2.529776344486633563e-02,2.908576918132870469e-03,2.887202545707896352e+06,2.792697416289623561e+03,3.422876694016402377e-01,1.403369361735700002e-03,3.638958482619228789e+02,1.245570618065064963e+02,3.191423793863168434e+00
-3.628706073888889050e-02,2.529526003704013828e-02,2.947883372000488673e-03,2.887387102230855729e+06,2.792731617655952959e+03,3.421345748026993205e-01,1.403916181600313191e-03,3.638980765192763442e+02,1.245021136814427507e+02,3.191588710423130415e+00
-3.624783408640740862e-02,2.529275759449325922e-02,2.987189764401768349e-03,2.887571328668544069e+06,2.792765756089573188e+03,3.419816973028809715e-01,1.404462754510676795e-03,3.639003006628866501e+02,1.244472424697226813e+02,3.191753330010345113e+00
-3.620860743392592673e-02,2.529025908936005304e-02,3.026495906323911026e-03,2.887755007484526839e+06,2.792799791292258760e+03,3.418292177489980488e-01,1.405008431411832815e-03,3.639025180673948512e+02,1.243925130878682097e+02,3.191917458254871498e+00
-3.616938078144444485e-02,2.528776749377490557e-02,3.065801609643694844e-03,2.887937922360449564e+06,2.792833683199724874e+03,3.416773162433554556e-01,1.405552563419877393e-03,3.639047261227466947e+02,1.243379901898933753e+02,3.192080901884610356e+00
-3.613015412896296297e-02,2.528528577987217488e-02,3.105106687799041951e-03,2.888119858183466364e+06,2.792867391979165404e+03,3.415261721508586201e-01,1.406094501821023197e-03,3.639069222340314127e+02,1.242837381697889327e+02,3.192243468713916954e+00
-3.609092747648148802e-02,2.528281691978622597e-02,3.144410956460682183e-03,2.888300601030174177e+06,2.792900878026117425e+03,3.413759641082690921e-01,1.406633598070183020e-03,3.639091038212762896e+02,1.242298211647643882e+02,3.192404967629069557e+00
-3.605170082400000614e-02,2.528036388565143427e-02,3.183714234204012769e-03,2.888479938147041481e+06,2.792934101960658609e+03,3.412268700356058115e-01,1.407169203788998261e-03,3.639112683191972337e+02,1.241763030592471893e+02,3.192565208570575574e+00
-3.601247417151852426e-02,2.527792964960216479e-02,3.223016343181095943e-03,2.888657657927456778e+06,2.792967024622956160e+03,3.410790671496441995e-01,1.407700670763396226e-03,3.639134131769075111e+02,1.241232474896226563e+02,3.192724002512441484e+00
-3.597324751903704237e-02,2.527551718377278253e-02,3.262317109792968808e-03,2.888833549885415938e+06,2.792999607068168643e+03,3.409327319795051325e-01,1.408227350940617455e-03,3.639155358575839614e+02,1.240707178497116558e+02,3.192881161438405613e+00
-3.593402086655556049e-02,2.527312946029766291e-02,3.301616365362210811e-03,2.889007404625845607e+06,2.793031810560710710e+03,3.407880403843051020e-01,1.408748596425745412e-03,3.639176338380910352e+02,1.240187772969761255e+02,3.193036498315148908e+00
-3.589479421407407861e-02,2.527076945131117094e-02,3.340913946805847742e-03,2.889179013811680488e+06,2.793063596567892091e+03,3.406451675728502382e-01,1.409263759477714234e-03,3.639197046085649276e+02,1.239674887594467521e+02,3.193189827062584030e+00
-3.585556756159259673e-02,2.526844012894767857e-02,3.380209697308618737e-03,2.889348170127672143e+06,2.793094926752934953e+03,3.405042881253459996e-01,1.409772192504824689e-03,3.639217456719562165e+02,1.239169149433626700e+02,3.193340962521197923e+00
-3.581634090911111484e-02,2.526614446534155428e-02,3.419503466996642264e-03,2.889514667241009884e+06,2.793125762967380979e+03,3.403655760171149791e-01,1.410273248059735378e-03,3.639237545435327661e+02,1.238671183415206940e+02,3.193489720416525124e+00
-3.577711425662963296e-02,2.526388543262715961e-02,3.458795113611510142e-03,2.889678299758744892e+06,2.793156067242888639e+03,3.402292046442959017e-01,1.410766278833946097e-03,3.639257287503433531e+02,1.238181612423250897e+02,3.193635917320748696e+00
-3.573788760414815108e-02,2.526166600293886302e-02,3.498084503184831738e-03,2.889838863182100002e+06,2.793185801782438830e+03,3.400953468515075517e-01,1.411250637651780080e-03,3.639276658306416721e+02,1.237701057395316155e+02,3.193779370611495416e+00
-3.569866095166666919e-02,2.525948914841104342e-02,3.537371510713253030e-03,2.889996153857645579e+06,2.793214928950936610e+03,3.399641749614680242e-01,1.411725677463857975e-03,3.639295633332715170e+02,1.237230137426829799e+02,3.193919898427811432e+00
-3.565943429918518731e-02,2.525735784117805194e-02,3.576656020833965301e-03,2.890149968925406225e+06,2.793243411265234499e+03,3.398358608065483732e-01,1.412190751340053991e-03,3.639314188170142188e+02,1.236769469882285080e+02,3.194057319623374802e+00
-3.562020764670370543e-02,2.525527505337427786e-02,3.615937928500707801e-03,2.890300106263880152e+06,2.793271211383564150e+03,3.397105757622612132e-01,1.412645212461938367e-03,3.639332298498968044e+02,1.236319670513277913e+02,3.194191453716936913e+00
-3.558098099422222355e-02,2.525324375713407579e-02,3.655217139660281705e-03,2.890446364432057831e+06,2.793298292094395947e+03,3.395884907826532961e-01,1.413088414114730415e-03,3.639349940084633204e+02,1.235881353583280315e+02,3.194322120840054957e+00
-3.554175434174074166e-02,2.525126692459182115e-02,3.694493571929558049e-03,2.890588542608370539e+06,2.793324616304713800e+03,3.394697764376173321e-01,1.413519709678723139e-03,3.639367088770078453e+02,1.235455131999200802e+02,3.194449141682071946e+00
-3.550252768925925978e-02,2.524934752788186507e-02,3.733767155272985257e-03,2.890726440526654944e+06,2.793350147027724688e+03,3.393546029520944640e-01,1.413938452620214963e-03,3.639383720467702688e+02,1.235041617449633549e+02,3.194572337432406872e+00
-3.546330103677777790e-02,2.524748853913860031e-02,3.773037832680569380e-03,2.890859858409084380e+06,2.793374847369985673e+03,3.392431402471853263e-01,1.414343996481907386e-03,3.639399811150943265e+02,1.234641420549859276e+02,3.194691529720117718e+00
-3.542407438429630295e-02,2.524569293049638494e-02,3.812305560846308838e-03,2.890988596896135714e+06,2.793398680517968842e+03,3.391355579831413780e-01,1.414735694872829496e-03,3.639415336845487445e+02,1.234255150993496812e+02,3.194806540550799934e+00
-3.538484773181482107e-02,2.524396367408958050e-02,3.851570310847084525e-03,2.891112456973506138e+06,2.793421609724047357e+03,3.390320256042664293e-01,1.415112901457709965e-03,3.639430273620105822e+02,1.233883417710914046e+02,3.194917192240736892e+00
-3.534562107933333919e-02,2.524230374205256935e-02,3.890832068821867794e-03,2.891231239896074869e+06,2.793443598291913531e+03,3.389327123856965551e-01,1.415474969945886745e-03,3.639444597577113427e+02,1.233526829034280894e+02,3.195023307348400898e+00
-3.530639442685185730e-02,2.524071610651970610e-02,3.930090836651336551e-03,2.891344747108818032e+06,2.793464609561421184e+03,3.388377874820956981e-01,1.415821254079664259e-03,3.639458284842457374e+02,1.233185992869401133e+02,3.195124708603202190e+00
-3.526716777437037542e-02,2.523920373962536268e-02,3.969346632637739403e-03,2.891452780164698139e+06,2.793484606892850479e+03,3.387474199782490869e-01,1.416151107622190715e-03,3.639471311555423085e+02,1.232861516874253880e+02,3.195221218831524990e+00
-3.522794112188889354e-02,2.523776961350391451e-02,4.008599492184977513e-03,2.891555140639526770e+06,2.793503553650592039e+03,3.386617789415770075e-01,1.416463884344816310e-03,3.639483653857963645e+02,1.232554008644328718e+02,3.195312660880035516e+00
-3.518871446940741166e-02,2.523641670028972314e-02,4.047849468478831314e-03,2.891651630043738522e+06,2.793521413186247628e+03,3.385810334765781415e-01,1.416758938013936223e-03,3.639495287883650008e+02,1.232264075904782459e+02,3.195398857536214887e+00
-3.514948781692592977e-02,2.523514797211716051e-02,4.087096633167236655e-03,2.891742049731076695e+06,2.793538148821137838e+03,3.385053527812136309e-01,1.417035622377334214e-03,3.639506189746225573e+02,1.231992326709456762e+02,3.195479631446109359e+00
-3.511026116444444789e-02,2.523396640112059164e-02,4.126341077040514976e-03,2.891826200804126449e+06,2.793553723828210423e+03,3.384349062052542934e-01,1.417293291150013845e-03,3.639516335527778779e+02,1.231739369646834632e+02,3.195554805029244161e+00
-3.507103451196296601e-02,2.523287495943439540e-02,4.165582910711449968e-03,2.891903884016710334e+06,2.793568101413345630e+03,3.383698633106137499e-01,1.417531297999514474e-03,3.639525701266513238e+02,1.231505814053015797e+02,3.195624200390716929e+00
-3.503180785948148412e-02,2.523187661919292640e-02,4.204822265295091004e-03,2.891974899673033506e+06,2.793581244696044905e+03,3.383103939336777888e-01,1.417748996530728955e-03,3.639534262944121110e+02,1.231292270231743231e+02,3.195687639230357480e+00
-3.499258120700000224e-02,2.523097435253055312e-02,4.244059293088146313e-03,2.892039047523568850e+06,2.793593116689493854e+03,3.382566682496778165e-01,1.417945740270203960e-03,3.639541996472742085e+02,1.231099349681650352e+02,3.195744942748962369e+00
-3.495335455451852036e-02,2.523017113158165792e-02,4.283294168247826252e-03,2.892096126657603309e+06,2.793603680279985838e+03,3.382088568391205530e-01,1.418120882649930720e-03,3.639548877681507406e+02,1.230927665330766843e+02,3.195795931551512314e+00
-3.491412790203703848e-02,2.522946992848059539e-02,4.322527087469977929e-03,2.892145935392400250e+06,2.793612898205696638e+03,3.381671307563182682e-01,1.418273776990631833e-03,3.639554882302659848e+02,1.230777831778440117e+02,3.195840425547348929e+00
-3.487490124955555659e-02,2.522887371536174095e-02,4.361758270666334265e-03,2.892188271158899646e+06,2.793620733034798377e+03,3.381316616000503705e-01,1.418403776484539148e-03,3.639559985957237700e+02,1.230650465544776750e+02,3.195878243847227740e+00
-3.483567459707407471e-02,2.522838546435945961e-02,4.400987961640699664e-03,2.892222930383828469e+06,2.793627147142881313e+03,3.381026215864055273e-01,1.418510234177649274e-03,3.639564164140311959e+02,1.230546185327774253e+02,3.195909204657143121e+00
-3.479644794459259283e-02,2.522800814760811638e-02,4.440216428763871931e-03,2.892249708368238062e+06,2.793632102689690782e+03,3.380801836238401248e-01,1.418592502951489037e-03,3.639567392205768215e+02,1.230465612268267108e+02,3.195933125168920697e+00
-3.475722129211111788e-02,2.522774473724209363e-02,4.479443965647078411e-03,2.892268399162249640e+06,2.793635561595134732e+03,3.380645213905077995e-01,1.418649935504365071e-03,3.639569645350618998e+02,1.230409370222877214e+02,3.195949821447405359e+00
