Converging x,Converging y
-1.331680897249132994e-02,1.709472587854190401e-02
-1.331546695808313689e-02,1.709606789295009879e-02
-1.331412494367494558e-02,1.709740990735829011e-02
-1.331278292926675252e-02,1.709875192176648490e-02
-1.331144091485856121e-02,1.710009393617467621e-02
-1.331009890045036816e-02,1.710143595058286753e-02
-1.330875688604217684e-02,1.710277796499105885e-02
-1.330741487163398379e-02,1.710411997939925016e-02
-1.330607285722579247e-02,1.710546199380744148e-02
-1.330473084281759942e-02,1.710680400821563626e-02
-1.330338882840940810e-02,1.710814602262382758e-02
-1.330204681400121505e-02,1.710948803703202237e-02
-1.330070479959302374e-02,1.711083005144021368e-02
-1.329936278518483068e-02,1.711217206584840500e-02
-1.329802077077663763e-02,1.711351408025659632e-02
-1.329667875636844632e-02,1.711485609466478763e-02
-1.329533674196025327e-02,1.711619810907298242e-02
-1.329399472755206195e-02,1.711754012348117374e-02
-1.329265271314386890e-02,1.711888213788936852e-02
-1.329131069873567758e-02,1.712022415229755984e-02
-1.328996868432748453e-02,1.712156616670575116e-02
-1.328862666991929321e-02,1.712290818111394247e-02
-1.328728465551110016e-02,1.712425019552213379e-02
-1.328594264110290885e-02,1.712559220993032510e-02
-1.328460062669471579e-02,1.712693422433851989e-02
-1.328325861228652448e-02,1.712827623874671121e-02
-1.328191659787833143e-02,1.712961825315490599e-02
-1.328057458347014011e-02,1.713096026756309731e-02
-1.327923256906194706e-02,1.713230228197128863e-02
-1.327789055465375574e-02,1.713364429637947994e-02
-1.327654854024556269e-02,1.713498631078767126e-02
-1.327520652583737137e-02,1.713632832519586258e-02
-1.327386451142917832e-02,1.713767033960405736e-02
-1.327252249702098701e-02,1.713901235401224868e-02
-1.327118048261279395e-02,1.714035436842044346e-02
-1.326983846820460264e-02,1.714169638282863478e-02
-1.326849645379640959e-02,1.714303839723682610e-02
-1.326715443938821827e-02,1.714438041164501741e-02
-1.326581242498002522e-02,1.714572242605320873e-02
-1.326447041057183390e-02,1.714706444046140005e-02
-1.326312839616364085e-02,1.714840645486959483e-02
-1.326178638175544953e-02,1.714974846927778615e-02
-1.326044436734725648e-02,1.715109048368598094e-02
-1.325910235293906517e-02,1.715243249809417225e-02
-1.325776033853087212e-02,1.715377451250236357e-02
-1.325641832412267906e-02,1.715511652691055489e-02
-1.325507630971448775e-02,1.715645854131874620e-02
-1.325373429530629470e-02,1.715780055572694099e-02
-1.325239228089810338e-02,1.715914257013513231e-02
-1.325105026648991033e-02,1.716048458454332709e-02
-1.324970825208171901e-02,1.716182659895151841e-02
-1.324836623767352596e-02,1.716316861335970972e-02
-1.324702422326533464e-02,1.716451062776790104e-02
-1.324568220885714159e-02,1.716585264217609236e-02
-1.324434019444895028e-02,1.716719465658428367e-02
-1.324299818004075723e-02,1.716853667099247846e-02
-1.324165616563256591e-02,1.716987868540066978e-02
-1.324031415122437286e-02,1.717122069980886456e-02
-1.323897213681618154e-02,1.717256271421705588e-02
-1.323763012240798849e-02,1.717390472862524720e-02
-1.323628810799979717e-02,1.717524674303343851e-02
-1.323494609359160412e-02,1.717658875744162983e-02
-1.323360407918341280e-02,1.717793077184982115e-02
-1.323226206477521975e-02,1.717927278625801593e-02
-1.323092005036702844e-02,1.718061480066620725e-02
-1.322957803595883539e-02,1.718195681507440203e-02
-1.322823602155064407e-02,1.718329882948259335e-02
-1.322689400714245102e-02,1.718464084389078467e-02
-1.322555199273425970e-02,1.718598285829897598e-02
-1.322420997832606665e-02,1.718732487270716730e-02
-1.322286796391787533e-02,1.718866688711535862e-02
