x,y,s,p,T,M,A,a,V,rho
1.833179167079804738e-04,5.461561077588379665e-02,6.327854477959261740e-04,1.672796440846385900e+06,2.515416479380273813e+03,1.029712986840586320e+00,8.800368710687377040e-04,3.453584686698994233e+02,3.556201003047731888e+02,2.052883498810981866e+00
1.913392077824804631e-04,5.458942128600662719e-02,6.601757835099735221e-04,1.668111670507478528e+06,2.514065259797510862e+03,1.032189069077301902e+00,8.801548781284757126e-04,3.452656971913979191e+02,3.563794785683146529e+02,2.048234532040615452e+00
1.991225221031410302e-04,5.456405726755722552e-02,6.867071501109571355e-04,1.663431330127102556e+06,2.512712251062395353e+03,1.034665151314017262e+00,8.802821247911478192e-04,3.451727778904395336e+02,3.571382444654913115e+02,2.043587462759396178e+00
2.066960585547280432e-04,5.453942558045063449e-02,7.124768700182538108e-04,1.658755471441428177e+06,2.511357461293150664e+03,1.037141233550732844e+00,8.804185834805732100e-04,3.450797112053651290e+02,3.578963973528630618e+02,2.038942341105129064e+00
2.140833627038486210e-04,5.451544851461868901e-02,7.375661495715024737e-04,1.654084145850424189e+06,2.510000898604288068e+03,1.039617315787448426e+00,8.805642270599943087e-04,3.449864975745443871e+02,3.586539365913609458e+02,2.034299216981724445e+00
2.213043360060648439e-04,5.449206044398507975e-02,7.620435739334326889e-04,1.649417404417741345e+06,2.508642571106509877e+03,1.042093398024164008e+00,8.807190288275643271e-04,3.448931374363706368e+02,3.594108615462824901e+02,2.029658140058753890e+00
2.283759803792966871e-04,5.446920535784069428e-02,7.859676855534854451e-04,1.644755297870619223e+06,2.507282486906616214e+03,1.044569480260879368e+00,8.808829625119043126e-04,3.447996312292566472e+02,3.601671715872874984e+02,2.025019159771030086e+00
2.353129582567279818e-04,5.444683500400079174e-02,8.093889236290957015e-04,1.640097876599810319e+06,2.505920654107410428e+03,1.047045562497594950e+00,8.810560022677270918e-04,3.447059793916301373e+02,3.609228660883937323e+02,2.020382325318192951e+00
2.421280210669219529e-04,5.442490746819392960e-02,8.323511079256322442e-04,1.635445190659524873e+06,2.504557080807609509e+03,1.049521644734310533e+00,8.812381226715152067e-04,3.446121823619288307e+02,3.616779444279716813e+02,2.015747685664319722e+00
2.488323420259406019e-04,5.440338607070607096e-02,8.548925912253608778e-04,1.630797289767378010e+06,2.503191775101745861e+03,1.051997726971026115e+00,8.814292987172842866e-04,3.445182405785965329e+02,3.624324059887406975e+02,2.011115289537525275e+00
2.554357781081478297e-04,5.438223849783363484e-02,8.770471665200216694e-04,1.626154223304366926e+06,2.501824745080077719e+03,1.054473809207741475e+00,8.816295058123888116e-04,3.444241544800779593e+02,3.631862501577634248e+02,2.006485185429593088e+00
2.619470787715563395e-04,5.436143610987178437e-02,8.988447898135059266e-04,1.621516040314853890e+06,2.500455998828497286e+03,1.056949891444457057e+00,8.818387197733966150e-04,3.443299245048146986e+02,3.639394763264419908e+02,2.001857421595606201e+00
2.683740540830458106e-04,5.434095338371310036e-02,9.203121623249739449e-04,1.616882789506572066e+06,2.499085544428437970e+03,1.059425973681172639e+00,8.820569168220296309e-04,3.442355510912404952e+02,3.646920838905124924e+02,1.997232046053596388e+00
2.747237114873704762e-04,5.432076745940726814e-02,9.414732041054034396e-04,1.612254519250641810e+06,2.497713389956782976e+03,1.061902055917887999e+00,8.822840735811603684e-04,3.441410346777769860e+02,3.654440722500405627e+02,1.992609106584197098e+00
2.810023680767281991e-04,5.430085776794891378e-02,9.623494428119797224e-04,1.607631277581599075e+06,2.496339543485772538e+03,1.064378138154603581e+00,8.825201670708634647e-04,3.440463757028288683e+02,3.661954408094162545e+02,1.987988650730310169e+00
2.872157435138641447e-04,5.428120572320805498e-02,9.829603354859887693e-04,1.603013112197457347e+06,2.494964013082919337e+03,1.066854220391319163e+00,8.827651747045278446e-04,3.439515746047798643e+02,3.669461889773490952e+02,1.983370725796796297e+00
2.933690375289291045e-04,5.426179446500642434e-02,1.003323536909296728e-03,1.598400070459759561e+06,2.493586806810911639e+03,1.069330302628034746e+00,8.830190742850339315e-04,3.438566318219880031e+02,3.676963161668631415e+02,1.978755378850153290e+00
2.994669950050930438e-04,5.424260864334278648e-02,1.023455124981031538e-03,1.593792199393659597e+06,2.492207932727525076e+03,1.071806384864750106e+00,8.832818440009715171e-04,3.437615477927813004e+02,3.684458217952919199e+02,1.974142656718220312e+00
3.055139609960001029e-04,5.422363423599915050e-02,1.043369791228232609e-03,1.589189545688021695e+06,2.490827398885535786e+03,1.074282467101465688e+00,8.835534624229265856e-04,3.436663229554533245e+02,3.691947052842734820e+02,1.969532605989894769e+00
3.115139275129390900e-04,5.420485839343418960e-02,1.063081002815260620e-03,1.584592155695526628e+06,2.489445213332629919e+03,1.076758549338181270e+00,8.838339084998146503e-04,3.435709577482588202e+02,3.699429660597447196e+02,1.964925273014854090e+00
3.174705735361784374e-04,5.418626930614176690e-02,1.082601141088630672e-03,1.580000075432792306e+06,2.488061384111312691e+03,1.079234631574896852e+00,8.841231615552705772e-04,3.434754526094093876e+02,3.706906035519368743e+02,1.960320703903284834e+00
3.233872994108225908e-04,5.416785609062754053e-02,1.101941620675472118e-03,1.575413350580520695e+06,2.486675919258824251e+03,1.081710713811612212e+00,8.844212012840901253e-04,3.433798079770689924e+02,3.714376171953696257e+02,1.955718944525637548e+00
3.292672565598860242e-04,5.414960869091093448e-02,1.121112992365896769e-03,1.570832026483643567e+06,2.485288826807048281e+03,1.084186796048327794e+00,8.847280077487250458e-04,3.432840242893497020e+02,3.721840064288463736e+02,1.951120040512372977e+00
3.351133732697919761e-04,5.413151779304881117e-02,1.140125032394352905e-03,1.566256148151494563e+06,2.483900114782426499e+03,1.086662878285043377e+00,8.850435613758237188e-04,3.431881019843072522e+02,3.729297706954483260e+02,1.946524037253734685e+00
3.409283771638304400e-04,5.411357475064030448e-02,1.158986820251317910e-03,1.561685760257990565e+06,2.482509791205871352e+03,1.089138960521758959e+00,8.853678429528328295e-04,3.430920414999368973e+02,3.736749094425294402e+02,1.941930979899524123e+00
3.467148148682333564e-04,5.409577151963928382e-02,1.177706806773285266e-03,1.557120907141829608e+06,2.481117864092677337e+03,1.091615042758474319e+00,8.857008336246337396e-04,3.429958432741689194e+02,3.744194221217108520e+02,1.937340913358889916e+00
3.524750692872353347e-04,5.407810060109403960e-02,1.196292873952876706e-03,1.552561632806702750e+06,2.479724341452438694e+03,1.094091124995189901e+00,8.860425148902409832e-04,3.428995077448643656e+02,3.751633081888754759e+02,1.932753882300127568e+00
3.582113748325358761e-04,5.406055499066911990e-02,1.214752387665109148e-03,1.548007980921514565e+06,2.478329231288958454e+03,1.096567207231905483e+00,8.863928685995402278e-04,3.428030353498109548e+02,3.759065671041623773e+02,1.928169931150483185e+00
3.639258308951128819e-04,5.404312813399452659e-02,1.233092244307077258e-03,1.543459994820628315e+06,2.476932541600167042e+03,1.099043289468621065e+00,8.867518769500769759e-04,3.427064265267184737e+02,3.766491983319609744e+02,1.923589104095980717e+00
3.696204138007408262e-04,5.402581388704223025e-02,1.251318912186702870e-03,1.538917717504119501e+06,2.475534280378037238e+03,1.101519371705336425e+00,8.871195224838895020e-04,3.426096817132149681e+02,3.773912013409058659e+02,1.919011445081249656e+00
3.752969874522803229e-04,5.400860648085638316e-02,1.269438468364106299e-03,1.534381191638035234e+06,2.474134455608494591e+03,1.103995453942052007e+00,8.874957880843915544e-04,3.425128013468419113e+02,3.781325756038706345e+02,1.914436997809360275e+00
3.809573128306601580e-04,5.399150049006785218e-02,1.287456631540369236e-03,1.529850459554685280e+06,2.472733075271338748e+03,1.106471536178767590e+00,8.878806569732917032e-04,3.424157858650506796e+02,3.788733205979625609e+02,1.909865805741683298e+00
3.866030565002264927e-04,5.397449080470917426e-02,1.305378791499025659e-03,1.525325563252927503e+06,2.471330147340156600e+03,1.108947618415482950e+00,8.882741127075711269e-04,3.423186357051976643e+02,3.796134358045162571e+02,1.905297912097742019e+00
3.922357982431151635e-04,5.395757260491791663e-02,1.323210035530752397e-03,1.520806544398484752e+06,2.469925679782239968e+03,1.111423700652198532e+00,8.886761391764865523e-04,3.422213513045406330e+02,3.803529207090886644e+02,1.900733359855093951e+00
3.978570379287319284e-04,5.394074133817524513e-02,1.340955172210026199e-03,1.516293444324260578e+06,2.468519680558502387e+03,1.113899782888914114e+00,8.890867205986315242e-04,3.421239331002341260e+02,3.810917748014521749e+02,1.896172191749204927e+00
4.034682017101075269e-04,5.392399269877688750e-02,1.358618752840171301e-03,1.511786304030674044e+06,2.467112157623394523e+03,1.116375865125629696e+00,8.895058415190338881e-04,3.420263815293257608e+02,3.818299975755897435e+02,1.891614450273342296e+00
4.090706476256407084e-04,5.390732260927501990e-02,1.376205090839787652e-03,1.507285164186010836e+06,2.465703118924824594e+03,1.118851947362345056e+00,8.899334868062934965e-04,3.419286970287514009e+02,3.825675885296877823e+02,1.887060177678478556e+00
4.146656706745513107e-04,5.389072720366532704e-02,1.393718279306427983e-03,1.502790065126783913e+06,2.464292572404076054e+03,1.121328029599060638e+00,8.903696416497641503e-04,3.418308800353318020e+02,3.833045471661314991e+02,1.882509415973203204e+00
4.202545074250630189e-04,5.387420281212319112e-02,1.411162206962253852e-03,1.498301046858101850e+06,2.462880525995722564e+03,1.123804111835776220e+00,8.908142915567750057e-04,3.417329309857677799e+02,3.840408729914973947e+02,1.877962206923639465e+00
4.258383402067820143e-04,5.385774594711852103e-02,1.428540572659756482e-03,1.493818149054069305e+06,2.461466987627553863e+03,1.126280194072491803e+00,8.912674223498865669e-04,3.416348503166367436e+02,3.847765655165483167e+02,1.873418592053389453e+00
4.314183009321661579e-04,5.384135329076039644e-02,1.445856898602992501e-03,1.489341411058170255e+06,2.460051965220487091e+03,1.128756276309207163e+00,8.917290201641963352e-04,3.415366384643880906e+02,3.855116242562266393e+02,1.868878612643456893e+00
4.369954745862747111e-04,5.382502168324127673e-02,1.463114542420346220e-03,1.484870871883697342e+06,2.458635466688494034e+03,1.131232358545922745e+00,8.921990714446732980e-04,3.414382958653393416e+02,3.862460487296484075e+02,1.864342309732219150e+00
4.425709024194178238e-04,5.380874811226666471e-02,1.480316708208069629e-03,1.480406570214159787e+06,2.457217499938514720e+03,1.133708440782638327e+00,8.926775629435367617e-04,3.413398229556721617e+02,3.869798384600969143e+02,1.859809724115367713e+00
4.481455848728292581e-04,5.379252970336948630e-02,1.497466456649736285e-03,1.475948544403737644e+06,2.455798072870382384e+03,1.136184523019353909e+00,8.931644817176693368e-04,3.412412201714280968e+02,3.877129929750163342e+02,1.855280896345896657e+00
4.537204842643288456e-04,5.377636371102087476e-02,1.514566714303956221e-03,1.471496832477723248e+06,2.454377193376743435e+03,1.138660605256069269e+00,8.936598151260633166e-04,3.411424879485048791e+02,3.884455118060058680e+02,1.850755866734076438e+00
4.592965272572858883e-04,5.376024751045860306e-02,1.531620282142466538e-03,1.467051472132978728e+06,2.452954869342976963e+03,1.141136687492784851e+00,8.941635508273153028e-04,3.410436267226518794e+02,3.891773944888127517e+02,1.846234675347438126e+00
4.648746071341915490e-04,5.374417859016424742e-02,1.548629843410750245e-03,1.462612500738425413e+06,2.451531108647119709e+03,1.143612769729500434e+00,8.946756767771415391e-04,3.409446369294668102e+02,3.899086405633264576e+02,1.841717362010785619e+00
4.704555858930866991e-04,5.372815454492698567e-02,1.565597970875884631e-03,1.458179955335518578e+06,2.450105919159785572e+03,1.146088851966216016e+00,8.951961812259413842e-04,3.408455190043910648e+02,3.906392495735716466e+02,1.837203966306197422e+00
4.760402961836369181e-04,5.371217306943954634e-02,1.582527133518644080e-03,1.453753872638747096e+06,2.448679308744089667e+03,1.148564934202931376e+00,8.957250527163864795e-04,3.407462733827061925e+02,3.913692210677020284e+02,1.832694527573042631e+00
4.816295430974586265e-04,5.369623195237725050e-02,1.599419702721032550e-03,1.449334289036148228e+06,2.447251285255570565e+03,1.151041016439646958e+00,8.962622800810472138e-04,3.406469004995296359e+02,3.920985545979938820e+02,1.828189084908016016e+00
4.872241058259060582e-04,5.368032907091647987e-02,1.616277957994869579e-03,1.444921240589826368e+06,2.445821856542113437e+03,1.153517098676362540e+00,8.968078524400575685e-04,3.405474007898110926e+02,3.928272497208392906e+02,1.823687677165169996e+00
4.928247391971453308e-04,5.366446238565354687e-02,1.633104092292206452e-03,1.440514763036491117e+06,2.444391030443875934e+03,1.155993180913077900e+00,8.973617591988020809e-04,3.404477746883283658e+02,3.935553059967395484e+02,1.819190342955966599e+00
4.984321751030245697e-04,5.364862993588880025e-02,1.649900216934271045e-03,1.436114891787996516e+06,2.442958814793210422e+03,1.158469263149793482e+00,8.979239900456496446e-04,3.403480226296836122e+02,3.942827229902987938e+02,1.814697120649326756e+00
5.040471238253430800e-04,5.363282983524465114e-02,1.666668366191702668e-03,1.431721661931903334e+06,2.441525217414588951e+03,1.160945345386509064e+00,8.984945349497069347e-04,3.402481450482991931e+02,3.950095002702167335e+02,1.810208048371701128e+00
5.096702752699089085e-04,5.361706026758893823e-02,1.683410501545851276e-03,1.427335108232042519e+06,2.440090246124528221e+03,1.163421427623224647e+00,8.990733841586091282e-04,3.401481423784140929e+02,3.957356374092823899e+02,1.805723164007138726e+00
5.153023001162756155e-04,5.360131948323833273e-02,1.700128515657651747e-03,1.422955265129102394e+06,2.438653908731517731e+03,1.165897509859940229e+00,8.996605281963455372e-04,3.400480150540799968e+02,3.964611339843673363e+02,1.801242505197379273e+00
5.209438508899249826e-04,5.358560579541849639e-02,1.716824236068312075e-03,1.418582166741206776e+06,2.437216213035940655e+03,1.168373592096655589e+00,9.002559578611088768e-04,3.399477635091571983e+02,3.971859895764183648e+02,1.796766109341931372e+00
5.265955629633889412e-04,5.356991757696036999e-02,1.733499428653444011e-03,1.414215846864526626e+06,2.435777166830003807e+03,1.170849674333371171e+00,9.008596642231780352e-04,3.398473881773110179e+02,3.979102037704514032e+02,1.792294013598184410e+00
5.322580554918316959e-04,5.355425325721351049e-02,1.750155800850489857e-03,1.409856338973888895e+06,2.434336777897664433e+03,1.173325756570086753e+00,9.014716386228343453e-04,3.397468894920079379e+02,3.986337761555438988e+02,1.787826254881514698e+00
5.379319322883332945e-04,5.353861131915942095e-02,1.766795004677291581e-03,1.405503676223402843e+06,2.432895054014556990e+03,1.175801838806802113e+00,9.020918726682997579e-04,3.396462678865117937e+02,3.993567063248282807e+02,1.783362869865408484e+00
